Username,Message,Date,Link,Keyword,Image
milelion,"Why not buy from shopee? $10 voucher for $11.40, but if you have a 15% off voucher (maybe during flash sale) you can use it that way? MCC also can use CRMC or WWMC, but opens more possibilities like ocbc rewards and UOB ppv too",2025-02-19 01:29:48,https://t.me/milelion/1077166,mcc,
milelion,"Yes it still work (travel category).
MCC is still cruise lines.",2025-02-19 00:58:57,https://t.me/milelion/1077156,mcc,
milelion,Does anyone know what the mcc for Apple Store buying from the phone hotline is? Does it qualify as “online” purchase?,2025-02-19 00:57:45,https://t.me/milelion/1077152,mcc,
milelion,Used amaze for Harvey via kris.. mcc is 5732.. whitelist for ppv,2025-02-18 23:08:49,https://t.me/milelion/1077119,mcc,
milelion,Is the hsbc revo bonus points in? I still don’t see it,2025-02-18 21:35:15,https://t.me/milelion/1077115,hsbc revo,
milelion,"It has been grocery mcc for me.

https://t.me/milelion/996376",2025-02-18 14:29:00,https://t.me/milelion/1077047,mcc,
milelion,"https://t.me/milelion/834284
https://t.me/milelion/834341

Last dp on the MCC was in 2023.
Hopefully it is still as it is.",2025-02-18 14:27:51,https://t.me/milelion/1077043,mcc,
milelion,Thanks. Glad to see MCC 7399 is not in the exclusion list 😄👍,2025-02-18 14:14:24,https://t.me/milelion/1077032,mcc,
milelion,"Hi all.. a noob question..  I wanted to buy some points @ points.com .. which is under MCC 7399.. does using Citibank Premiermiles MC, Citibank Cash Back MC, or UOB Prvimiles Visa .. or even Amex Platinum card ..earn cash back or miles etc? Thanks in advance.",2025-02-18 14:04:35,https://t.me/milelion/1077023,mcc,
milelion,"#dp Tried to pay income tax using Choc debit card via AXS e-station on desktop (Win11 + Chrome). The OTP page kept refreshing itself automatically and sent new OTP to my phone, so I couldn’t complete the payment (so I thought). Then I clicked the X repeatedly to close the page so that it’d fail. It didn’t work! Then suddenly, transaction successful!

That means the txn went thru without OTP verification! 😱

I’m not complaining that I managed to pay $1k of my income tax and get 2k MM. But isn’t that a security glitch loophole? 😧

Anyone else encountered similar glitches?",2025-02-18 13:10:13,https://t.me/milelion/1077012,#dp,
milelion,Any dp for MCC? Lol,2025-02-18 07:28:35,https://t.me/milelion/1076919,mcc,
milelion,"The numbers on DBS WWMC for the $ amt in the bonus section is a placeholder, it doesn't mean anything",2025-02-18 02:44:49,https://t.me/milelion/1076793,dbs wwmc,
milelion,"think no change in the travel category since the start though...

https://milelion.com/2023/03/20/explained-which-mccs-are-included-in-the-uob-ladys-card-travel-category/",2025-02-18 02:43:09,https://t.me/milelion/1076787,mcc,
milelion,"#dp kfeg fast track to shangrila jade after staying one night.

Next day, acct automatically upgrade to jade, status expire end dec 2026",2025-02-17 23:26:02,https://t.me/milelion/1076722,#dp,
milelion,Not safe. Many times the MCC change from empty wallet to actual transaction,2025-02-17 14:53:27,https://t.me/milelion/1076699,mcc,
milelion,"#dp bought SQ from dbs marketplace, codes as SQ mcc and online. price cheaper than on SQ website itself with free travel insurance",2025-02-17 14:51:52,https://t.me/milelion/1076697,#dp,
milelion,anyone purchased flights from dbs marketplace before? any dp on mcc?,2025-02-17 14:40:29,https://t.me/milelion/1076693,mcc,
milelion,"Shopback voucher MCC roulette quite risky, prefer to use online card",2025-02-17 14:38:30,https://t.me/milelion/1076690,mcc,
milelion,"Hello, does anyone know if i buy deliveroo vouchers via Shopback, what MCC code does it fall under?
Can i use ladys card - dining category to purchase these vouchers?",2025-02-17 14:37:32,https://t.me/milelion/1076688,mcc,
milelion,"Yes, provided MCC is correct",2025-02-17 11:36:56,https://t.me/milelion/1076644,mcc,
milelion,Got an EV? You can topup on volt app,2025-02-17 05:45:20,https://t.me/milelion/1076523,topup,
milelion,"Pasmo top up using Mastercard should be MCC4112, Visa I’m not too sure, have not used Pasmo.",2025-02-17 00:11:07,https://t.me/milelion/1076417,mcc,
milelion,Suica top up is MCC 5964 (Visa). MCC 4112 if Mastercard.,2025-02-17 00:00:38,https://t.me/milelion/1076414,mcc,
milelion,"Hey all, one thing i am unsure about when using ppv for suica topup (mcc 4112). It’s mobile payment through apple pay so eligible but ineligible if i buy ticket online right?",2025-02-16 23:59:16,https://t.me/milelion/1076413,topup,
milelion,Yes I just tested it today. Wokhey finally has pos terminals at their shops. Mcc is 5814 and accepts paywave. No longer need to be forced to order online if you want to pay with credit cards.,2025-02-16 14:17:15,https://t.me/milelion/1076374,mcc,
